iter	Passed	Remaining
0	1	178
1	3	177
2	5	168
3	6	153
4	8	155
5	9	151
6	11	148
7	12	146
8	14	144
9	15	140
10	16	136
11	18	133
12	19	131
13	21	129
14	22	127
15	23	124
16	25	122
17	26	120
18	27	118
19	29	117
20	31	117
21	32	115
22	33	113
23	35	111
24	36	110
25	38	108
26	39	106
27	41	106
28	43	107
29	45	106
30	47	105
31	48	103
32	50	102
33	52	100
34	54	101
35	56	100
36	58	98
37	59	96
38	60	95
39	62	93
40	63	91
41	64	88
42	65	86
43	67	85
44	68	83
45	70	82
46	71	80
47	73	79
48	74	78
49	76	76
50	77	74
51	79	73
52	80	71
53	82	70
54	83	68
55	85	66
56	86	65
57	88	63
58	89	62
59	91	60
60	92	59
61	94	57
62	96	56
63	98	55
64	99	53
65	101	52
66	102	50
67	104	49
68	105	47
69	107	46
70	108	44
71	110	42
72	111	41
73	112	39
74	114	38
75	115	36
76	117	35
77	118	33
78	120	32
79	121	30
80	123	28
81	125	27
82	126	25
83	128	24
84	129	22
85	131	21
86	133	19
87	134	18
88	136	16
89	138	15
90	139	13
91	141	12
92	142	10
93	143	9
94	145	7
95	146	6
96	148	4
97	149	3
98	151	1
99	152	0
