iter	Passed	Remaining
0	159	158845
1	161	80395
2	162	54130
3	164	41064
4	167	33423
5	170	28180
6	172	24501
7	179	22260
8	181	20032
9	191	18963
10	196	17664
11	198	16344
12	202	15376
13	205	14503
14	209	13744
15	211	13027
16	216	12501
17	219	11951
18	221	11434
19	224	10982
20	230	10722
21	233	10388
22	235	10002
23	237	9652
24	239	9354
25	241	9051
26	243	8766
27	245	8511
28	247	8270
29	248	8041
30	250	7831
31	253	7675
32	256	7505
33	263	7487
34	265	7325
35	268	7188
36	271	7053
37	274	6946
38	276	6816
39	279	6709
40	282	6610
41	284	6492
42	286	6377
43	288	6260
44	289	6152
45	291	6048
46	294	5963
47	296	5883
48	302	5868
49	303	5775
50	305	5683
51	308	5616
52	310	5539
53	311	5457
54	313	5380
55	314	5306
56	316	5231
57	317	5159
58	319	5093
59	323	5070
60	328	5057
61	331	5010
62	334	4967
63	337	4936
64	339	4880
65	340	4825
66	342	4774
67	344	4724
68	346	4676
69	348	4631
70	356	4669
71	358	4625
72	360	4582
73	364	4555
74	366	4517
75	369	4496
76	371	4455
77	373	4419
78	376	4392
79	378	4355
80	380	4317
81	382	4283
82	383	4235
83	385	4203
84	387	4173
85	389	4140
86	393	4131
87	400	4147
88	402	4119
89	405	4100
90	407	4071
91	409	4046
92	414	4040
93	416	4011
94	418	3985
95	420	3961
96	423	3938
97	427	3934
98	435	3959
99	438	3942
100	439	3916
101	441	3891
102	443	3865
103	445	3840
104	449	3835
105	456	3854
106	458	3829
107	463	3830
108	465	3807
109	467	3782
110	470	3768
111	498	3954
112	501	3935
113	503	3911
114	507	3903
115	510	3887
116	511	3858
117	512	3831
118	515	3816
119	518	3799
120	527	3834
121	530	3815
122	534	3814
123	537	3793
124	538	3772
125	541	3757
126	544	3742
127	548	3733
128	551	3726
129	556	3723
130	559	3708
131	566	3723
132	569	3715
133	576	3724
134	578	3706
135	580	3685
136	582	3666
137	584	3648
138	586	3634
139	590	3628
140	592	3609
141	594	3589
142	598	3586
143	602	3582
144	605	3567
145	610	3569
146	614	3565
147	617	3553
148	619	3536
149	621	3521
150	623	3503
151	627	3502
